Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
1,Wed,2020-10-21,Salzburg,Lokomotiv Moskva (RUS),2-2,1-1,
1,Wed,2020-10-21,Bayern de Munique,Atlético de Madrid,4-0,2-0,
1,Tue,2020-10-27,Lokomotiv Moskva (RUS),Bayern de Munique,1-2,0-1,
1,Tue,2020-10-27,Atlético de Madrid,Salzburg,3-2,1-1,
1,Tue,2020-11-03,Lokomotiv Moskva (RUS),Atlético de Madrid,1-1,1-1,
1,Tue,2020-11-03,Salzburg,Bayern de Munique,2-6,1-2,
1,Wed,2020-11-25,Atlético de Madrid,Lokomotiv Moskva (RUS),0-0,,
1,Wed,2020-11-25,Bayern de Munique,Salzburg,3-1,1-0,
1,Tue,2020-12-01,Lokomotiv Moskva (RUS),Salzburg,1-3,0-2,
1,Tue,2020-12-01,Atlético de Madrid,Bayern de Munique,1-1,1-0,
1,Wed,2020-12-09,Bayern de Munique,Lokomotiv Moskva (RUS),2-0,0-0,
1,Wed,2020-12-09,Salzburg,Atlético de Madrid,0-2,0-1,
1,Wed,2020-10-21,Real Madrid,FC Shakhtar Donetsk,2-3,0-3,
1,Wed,2020-10-21,Inter de Milão,Borussia Monchengladbach,2-2,0-0,
1,Tue,2020-10-27,FC Shakhtar Donetsk,Inter de Milão,0-0,,
1,Tue,2020-10-27,Borussia Monchengladbach,Real Madrid,2-2,1-0,
2,Tue,2020-11-03,FC Shakhtar Donetsk,Borussia Monchengladbach,0-6,0-4,
2,Tue,2020-11-03,Real Madrid,Inter de Milão,3-2,2-1,
2,Wed,2020-11-25,Borussia Monchengladbach,FC Shakhtar Donetsk,4-0,3-0,
2,Wed,2020-11-25,Inter de Milão,Real Madrid,0-2,0-1,
2,Tue,2020-12-01,FC Shakhtar Donetsk,Real Madrid,2-0,0-0,
2,Tue,2020-12-01,Borussia Monchengladbach,Inter de Milão,2-3,1-1,
2,Wed,2020-12-09,Inter de Milão,FC Shakhtar Donetsk,0-0,,
2,Wed,2020-12-09,Real Madrid,Borussia Monchengladbach,2-0,2-0,
2,Wed,2020-10-21,Manchester City,FC Porto,3-1,1-1,
2,Wed,2020-10-21,Olympiacos,Olympique de Marseille,1-0,0-0,
2,Tue,2020-10-27,FC Porto,Olympiacos,2-0,1-0,
2,Tue,2020-10-27,Olympique de Marseille,Manchester City,0-3,0-1,
2,Tue,2020-11-03,FC Porto,Olympique de Marseille,3-0,2-0,
2,Tue,2020-11-03,Manchester City,Olympiacos,3-0,1-0,
2,Wed,2020-11-25,Olympiacos,Manchester City,0-1,0-1,
2,Wed,2020-11-25,Olympique de Marseille,FC Porto,0-2,0-1,
3,Tue,2020-12-01,FC Porto,Manchester City,0-0,,
3,Tue,2020-12-01,Olympique de Marseille,Olympiacos,2-1,0-1,
3,Wed,2020-12-09,Manchester City,Olympique de Marseille,3-0,0-0,
3,Wed,2020-12-09,Olympiacos,FC Porto,0-2,0-1,
3,Wed,2020-10-21,AFC Ajax,Liverpool,0-1,0-1,
3,Wed,2020-10-21,FC Midtjylland,Atalanta,0-4,0-3,
3,Tue,2020-10-27,Atalanta,AFC Ajax,2-2,0-2,
3,Tue,2020-10-27,Liverpool,FC Midtjylland,2-0,0-0,
3,Tue,2020-11-03,Atalanta,Liverpool,0-5,0-2,
3,Tue,2020-11-03,FC Midtjylland,AFC Ajax,1-2,1-2,
3,Wed,2020-11-25,AFC Ajax,FC Midtjylland,3-1,0-0,
3,Wed,2020-11-25,Liverpool,Atalanta,0-2,0-0,
3,Tue,2020-12-01,Atalanta,FC Midtjylland,1-1,0-1,
3,Tue,2020-12-01,Liverpool,AFC Ajax,1-0,0-0,
3,Wed,2020-12-09,AFC Ajax,Atalanta,0-1,0-0,
3,Wed,2020-12-09,FC Midtjylland,Liverpool,1-1,0-1,
4,Tue,2020-10-20,Chelsea,Sevilha FC,0-0,,
4,Tue,2020-10-20,Rennes,FK Krasnodar (RUS),1-1,0-0,
4,Wed,2020-10-28,FK Krasnodar (RUS),Chelsea,0-4,0-1,
4,Wed,2020-10-28,Sevilha FC,Rennes,1-0,0-0,
4,Wed,2020-11-04,Chelsea,Rennes,3-0,2-0,
4,Wed,2020-11-04,Sevilha FC,FK Krasnodar (RUS),3-2,1-2,
4,Tue,2020-11-24,Rennes,Chelsea,1-2,0-1,
4,Tue,2020-11-24,FK Krasnodar (RUS),Sevilha FC,1-2,0-1,
4,Wed,2020-12-02,FK Krasnodar (RUS),Rennes,1-0,0-0,
4,Wed,2020-12-02,Sevilha FC,Chelsea,0-4,0-1,
4,Tue,2020-12-08,Chelsea,FK Krasnodar (RUS),1-1,1-1,
4,Tue,2020-12-08,Rennes,Sevilha FC,1-3,0-2,
4,Tue,2020-10-20,Zenit St. Petersburg (RUS),Club Brugge KV,1-2,0-0,
4,Tue,2020-10-20,Lazio,Borussia Dortmund,3-1,2-0,
4,Wed,2020-10-28,Borussia Dortmund,Zenit St. Petersburg (RUS),2-0,0-0,
4,Wed,2020-10-28,Club Brugge KV,Lazio,1-1,1-1,
5,Wed,2020-11-04,Zenit St. Petersburg (RUS),Lazio,1-1,1-0,
5,Wed,2020-11-04,Club Brugge KV,Borussia Dortmund,0-3,0-3,
5,Tue,2020-11-24,Borussia Dortmund,Club Brugge KV,3-0,2-0,
5,Tue,2020-11-24,Lazio,Zenit St. Petersburg (RUS),3-1,2-1,
5,Wed,2020-12-02,Borussia Dortmund,Lazio,1-1,1-0,
5,Wed,2020-12-02,Club Brugge KV,Zenit St. Petersburg (RUS),3-0,1-0,
5,Tue,2020-12-08,Zenit St. Petersburg (RUS),Borussia Dortmund,1-2,1-0,
5,Tue,2020-12-08,Lazio,Club Brugge KV,2-2,2-1,
5,Tue,2020-10-20,Dínamo Kiev,Juventus FC,0-2,0-0,
5,Tue,2020-10-20,Barcelona,Ferencvarosi TC,5-1,2-0,
5,Wed,2020-10-28,Ferencvarosi TC,Dínamo Kiev,2-2,0-2,
5,Wed,2020-10-28,Juventus FC,Barcelona,0-2,0-1,
5,Wed,2020-11-04,Barcelona,Dínamo Kiev,2-1,1-0,
5,Wed,2020-11-04,Ferencvarosi TC,Juventus FC,1-4,0-1,
5,Tue,2020-11-24,Dínamo Kiev,Barcelona,0-4,0-0,
5,Tue,2020-11-24,Juventus FC,Ferencvarosi TC,2-1,1-1,
6,Wed,2020-12-02,Juventus FC,Dínamo Kiev,3-0,1-0,
6,Wed,2020-12-02,Ferencvarosi TC,Barcelona,0-3,0-3,
6,Tue,2020-12-08,Dínamo Kiev,Ferencvarosi TC,1-0,0-0,
6,Tue,2020-12-08,Barcelona,Juventus FC,0-3,0-2,
6,Tue,2020-10-20,RB Leipzig,Instanbul Basaksehir FK,2-0,2-0,
6,Tue,2020-10-20,Paris Saint Germain,Manchester United,1-2,0-1,
6,Wed,2020-10-28,Instanbul Basaksehir FK,Paris Saint Germain,0-2,0-0,
6,Wed,2020-10-28,Manchester United,RB Leipzig,5-0,1-0,
6,Wed,2020-11-04,Instanbul Basaksehir FK,Manchester United,2-1,2-1,
6,Wed,2020-11-04,RB Leipzig,Paris Saint Germain,2-1,1-1,
6,Tue,2020-11-24,Manchester United,Instanbul Basaksehir FK,4-1,3-0,
6,Tue,2020-11-24,Paris Saint Germain,RB Leipzig,1-0,1-0,
6,Wed,2020-12-02,Instanbul Basaksehir FK,RB Leipzig,3-4,1-2,
6,Wed,2020-12-02,Manchester United,Paris Saint Germain,1-3,1-1,
6,Tue,2020-12-08,RB Leipzig,Manchester United,3-2,2-0,
6,Wed,2020-12-09,Paris Saint Germain,Instanbul Basaksehir FK,5-1,3-0,
Round of 16,Tue,2021-02-16,RB Leipzig,Liverpool,0-2,0-0,
Round of 16,Tue,2021-02-16,Barcelona,Paris Saint Germain,1-4,1-1,
Round of 16,Wed,2021-02-17,FC Porto,Juventus FC,2-1,1-0,
Round of 16,Wed,2021-02-17,Sevilha FC,Borussia Dortmund,2-3,1-3,
Round of 16,Tue,2021-02-23,Lazio,Bayern de Munique,1-4,0-3,
Round of 16,Tue,2021-02-23,Atlético de Madrid,Chelsea,0-1,0-0,
Round of 16,Wed,2021-02-24,Borussia Monchengladbach,Manchester City,0-2,0-1,
Round of 16,Wed,2021-02-24,Atalanta,Real Madrid,0-1,0-0,
Round of 16,Tue,2021-03-09,Juventus FC,FC Porto,3-2,,
Round of 16,Tue,2021-03-09,Borussia Dortmund,Sevilha FC,2-2,1-0,
Round of 16,Wed,2021-03-10,Liverpool,RB Leipzig,2-0,0-0,
Round of 16,Wed,2021-03-10,Paris Saint Germain,Barcelona,1-1,1-1,
Round of 16,Tue,2021-03-16,Manchester City,Borussia Monchengladbach,2-0,2-0,
Round of 16,Tue,2021-03-16,Real Madrid,Atalanta,3-1,1-0,
Round of 16,Wed,2021-03-17,Bayern de Munique,Lazio,2-1,1-0,
Round of 16,Wed,2021-03-17,Chelsea,Atlético de Madrid,2-0,1-0,
Quarterfinals,Tue,2021-04-06,Manchester City,Borussia Dortmund,2-1,1-0,
Quarterfinals,Tue,2021-04-06,Real Madrid,Liverpool,3-1,2-0,
Quarterfinals,Wed,2021-04-07,FC Porto,Chelsea,0-2,0-1,
Quarterfinals,Wed,2021-04-07,Bayern de Munique,Paris Saint Germain,2-3,1-2,
Quarterfinals,Tue,2021-04-13,Chelsea,FC Porto,0-1,0-0,
Quarterfinals,Tue,2021-04-13,Paris Saint Germain,Bayern de Munique,0-1,0-1,
Quarterfinals,Wed,2021-04-14,Borussia Dortmund,Manchester City,1-2,1-0,
Quarterfinals,Wed,2021-04-14,Liverpool,Real Madrid,0-0,,
Semifinals,Tue,2021-04-27,Real Madrid,Chelsea,1-1,1-1,
Semifinals,Wed,2021-04-28,Paris Saint Germain,Manchester City,1-2,1-0,
Semifinals,Tue,2021-05-04,Manchester City,Paris Saint Germain,2-0,1-0,
Semifinals,Wed,2021-05-05,Chelsea,Real Madrid,2-0,1-0,
Final,Sat,2021-05-29,Manchester City,Chelsea,0-1,0-1,
